participant_id,OrthoET_trial_number,OrthoET_trial_order,OrthoET_high,OrthoET_low,OrthoET_illegal,OrthoET_unpron,OrthoET_high_position,OrthoET_IA_label,OrthoET_response_time,OrthoET_response_choice,OrthoET_response_choice_accuracy_high,OrthoET_response_choice_accuracy_highlow,OrthoET_IA_fixation_count,OrthoET_IA_fixation_%,OrthoET_IA_dwell_time,OrthoET_IA_dwell_time%,OrthoET_IA_run_count,OrthoET_IA_first_run_fixation_count,OrthoET_IA_first_run_fixation%,OrthoET_IA_first_run_dwell_time,Ortho_ET_IA_inclusion,Ortho_ET_accuracy,accurate_trials,Ortho_ET_accuracy_inclusion,Ortho_ET_met_both_inclusion_count,Ortho_ET_met_both_inclusion
c141097,15,15,grat,wrup,sviw,tkvc,2,Low_Ortho_IA,1511,High_Ortho,1,1,0,0,0,0,0,.,.,.,0,1,18,TRUE,18,1
c141097,15,15,grat,wrup,sviw,tkvc,2,Illegal_IA,1511,High_Ortho,1,1,1,0.2,158,0.0897,1,1,0.2,158,0,1,18,TRUE,18,1
c141097,15,15,grat,wrup,sviw,tkvc,2,Unpron_IA,1511,High_Ortho,1,1,1,0.2,280,0.1589,1,1,0.2,280,0,1,18,TRUE,18,1
c141097,16,16,clat,knoy,csih,dhhx,1,High_Ortho_IA,1608,High_Ortho,1,1,1,0.25,1486,0.7998,1,1,0.25,1486,0,1,18,TRUE,18,1
c141097,16,16,clat,knoy,csih,dhhx,1,Low_Ortho_IA,1608,High_Ortho,1,1,2,0.5,158,0.085,1,2,0.5,158,0,1,18,TRUE,18,1
c141097,16,16,clat,knoy,csih,dhhx,1,Illegal_IA,1608,High_Ortho,1,1,0,0,0,0,0,.,.,.,0,1,18,TRUE,18,1
c141097,16,16,clat,knoy,csih,dhhx,1,Unpron_IA,1608,High_Ortho,1,1,0,0,0,0,0,.,.,.,0,1,18,TRUE,18,1
c141097,17,17,drel,sqow,vwux,fzgj,1,High_Ortho_IA,2793,High_Ortho,1,1,3,0.3333,1498,0.5166,2,1,0.1111,216,1,1,18,TRUE,18,1
c141097,17,17,drel,sqow,vwux,fzgj,1,Low_Ortho_IA,2793,High_Ortho,1,1,1,0.1111,616,0.2124,1,1,0.1111,616,1,1,18,TRUE,18,1
c141097,17,17,drel,sqow,vwux,fzgj,1,Illegal_IA,2793,High_Ortho,1,1,2,0.2222,184,0.0634,1,2,0.2222,184,1,1,18,TRUE,18,1
c141097,17,17,drel,sqow,vwux,fzgj,1,Unpron_IA,2793,High_Ortho,1,1,2,0.2222,364,0.1255,1,2,0.2222,364,1,1,18,TRUE,18,1
c141097,18,18,pred,syew,pvuj,rxbf,3,High_Ortho_IA,2693,High_Ortho,1,1,3,0.3333,1486,0.5243,1,3,0.3333,1486,1,1,18,TRUE,18,1
c141097,18,18,pred,syew,pvuj,rxbf,3,Low_Ortho_IA,2693,High_Ortho,1,1,2,0.2222,236,0.0833,1,2,0.2222,236,1,1,18,TRUE,18,1
