IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_LABEL,IA_DWELL_TIME,IA_DWELL_TIME_%,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_RUN_FIXATION_COUNT,IA_FIXATION_COUNT,Accuracy,Remaining_Trials_Ortho,Response_Choice,Response_Time,Session_Name_,TASK2_POSITIONS,Trial_Index_,Trial_Number_Orthography,Trial_Recycled_,high_ortho,high_ortho_position,illegal_string,low_ortho,task,unpron_string,looked_all_four_IA,accuracy_high_low,accurate_trials,at_least_12_accurate,good_trial_count,has_12_good_trials,Group
.,Full Trial Period,c141097,12,Unpron_IA,0,0,.,.,.,.,0,Correct,6,High_Ortho,2021,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,12,UNDEFINED,prit,3,wgiy,twap,1,bkjd,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,13,High_Ortho_IA,2158,0.674,2158,2158,1260,1,1,Correct,5,High_Ortho,3033,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,13,UNDEFINED,whon,3,fvej,phud,1,kdsj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,13,Low_Ortho_IA,284,0.0887,284,106,906,2,2,Correct,5,High_Ortho,3033,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,13,UNDEFINED,whon,3,fvej,phud,1,kdsj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,13,Illegal_IA,306,0.0956,306,306,272,1,1,Correct,5,High_Ortho,3033,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,13,UNDEFINED,whon,3,fvej,phud,1,kdsj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,13,Unpron_IA,236,0.0737,236,236,632,1,1,Correct,5,High_Ortho,3033,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,13,UNDEFINED,whon,3,fvej,phud,1,kdsj,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,14,High_Ortho_IA,1840,0.5779,1840,1840,1538,1,1,Correct,4,High_Ortho,2951,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,14,UNDEFINED,gred,2,gwiy,wreb,1,ktlh,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,14,Low_Ortho_IA,590,0.1853,590,590,668,1,1,Correct,4,High_Ortho,2951,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,14,UNDEFINED,gred,2,gwiy,wreb,1,ktlh,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,14,Illegal_IA,184,0.0578,184,184,1312,1,1,Correct,4,High_Ortho,2951,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,14,UNDEFINED,gred,2,gwiy,wreb,1,ktlh,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,14,Unpron_IA,356,0.1118,356,356,270,1,1,Correct,4,High_Ortho,2951,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,14,UNDEFINED,gred,2,gwiy,wreb,1,ktlh,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,14,Unpron_IA,590,0.1853,590,590,668,1,1,Correct,4,High_Ortho,2951,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,14,UNDEFINED,gred,2,gwiy,wreb,1,ktlh,1,1,18,TRUE,12,1,TD
